"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
3,10,1,10,18,8,0.928824895562138,-2.36032958636896,4.21797956824176
3,10,1,10,18,9,3.23494817587975,-1.27136911937434,7.74126573247403
3,10,1,10,18,10,-0.997488967036444,-6.96457384149372,4.96959625347977
1,1,10,10,18,1,2.13664993513971,0.665211793880601,3.60808816173312
1,1,10,10,18,2,0.692844931429696,-0.74224695175552,2.12793689783962
1,1,10,10,18,3,1.46227726048215,-0.12742106669053,3.05197567984592
1,1,10,10,18,4,1.91529533778523,0.137681957820025,3.69290882084094
1,1,10,10,18,5,1.70572141220384,-0.00470699761927548,3.41614992122115
1,1,10,10,18,6,0.909021419428139,-1.46599572138538,3.2840386979772
1,1,10,10,18,7,0.267824491223653,-1.52013802849327,2.05578711463135
1,1,10,10,18,8,2.10117017359675,0.707397057654928,3.49494337036807
1,1,10,10,18,9,1.48892285554901,0.108872388250056,2.86897340288289
1,1,10,10,18,10,1.64684155373017,-0.0580888490256666,3.35177205536194
2,1,10,10,18,1,3.27799402313328,2.25744889201292,4.29853915471468
2,1,10,10,18,2,3.37910978994173,1.62043440761554,5.13778527426097
2,1,10,10,18,3,1.99117639163668,0.667038897430965,3.31531396263395
2,1,10,10,18,4,0.955600746310824,-0.395658347818195,2.3068599188046
2,1,10,10,18,5,2.2571075139687,0.498851367821784,4.01536376208366
2,1,10,10,18,6,1.21683679589271,-0.566663999473579,3.00033769469104
2,1,10,10,18,7,3.09550923731127,1.54054674071858,4.65047182408168
2,1,10,10,18,8,0.397709759890048,-1.59831214086142,2.39373177639836
2,1,10,10,18,9,1.01698931025525,-0.187604535487015,2.22158322585762
2,1,10,10,18,10,1.8512821370927,0.358948675320673,3.34361568541007
3,1,10,10,18,1,2.58643909122667,1.06265692084485,4.11022134997844
3,1,10,10,18,2,3.35271896810356,1.74796329566702,4.957474733606
3,1,10,10,18,3,4.01122087542486,1.91953537046147,6.10290650114603
3,1,10,10,18,4,3.79741134926768,2.1007820585529,5.49404073837544
3,1,10,10,18,5,4.68827975449893,2.60726126381529,6.76929836586872
3,1,10,10,18,6,3.19338773124921,1.77970557721937,4.607069967264
3,1,10,10,18,7,3.32773782051827,1.73233429386196,4.92314143969854
3,1,10,10,18,8,2.13261459686114,0.933837168904589,3.33139209433934
3,1,10,10,18,9,2.36431859323652,1.37755348375064,3.35108375994843
3,1,10,10,18,10,3.30411054707635,1.45251474789179,5.155706453642
1,10,10,10,18,1,0.162016635995845,-3.91666650477999,4.24070001330998
1,10,10,10,18,2,-1.13297023155188,-5.5094652843026,3.24352507500684
1,10,10,10,18,3,-2.5972742921514,-7.23250795938763,2.03795964389873
1,10,10,10,18,4,5.84697842588327,0.587991066837879,11.1059660899157
1,10,10,10,18,5,3.79680587961367,0.584851907910729,7.00876003758927
1,10,10,10,18,6,1.94673289925938,-1.68207385543312,5.57553986439892
1,10,10,10,18,7,0.812755160138842,-4.58109436363091,6.20660499671708
1,10,10,10,18,8,-3.29985577947842,-5.96291553784278,-0.636795866673068
1,10,10,10,18,9,0.202012912111811,-4.06023768011867,4.46426375152528
1,10,10,10,18,10,-2.2290146412105,-5.48859357089796,1.03056447751161
2,10,10,10,18,1,-0.233951851232197,-3.30222888739785,2.8343253628738
2,10,10,10,18,2,-1.59558903449097,-6.32742035038297,3.1362425558168
2,10,10,10,18,3,1.26835682326907,-3.9124691994043,6.44918314639822
2,10,10,10,18,4,1.12106849502588,-3.42947161736164,5.67160887131789
2,10,10,10,18,5,1.25011639863584,-1.86168668894057,4.36191966667744
2,10,10,10,18,6,4.61857542073083,0.223397603536087,9.01375349281716
2,10,10,10,18,7,6.90464395036288,2.44437867636204,11.36490948303
2,10,10,10,18,8,-1.83982413421608,-9.45338552119463,5.77373769430434
2,10,10,10,18,9,1.1028659223139,-3.81828686190611,6.02401899193052
2,10,10,10,18,10,4.43990214351168,-0.616018664926273,9.49582324516016
3,10,10,10,18,1,2.77125421972722,-0.981588183601562,6.52409684069763
3,10,10,10,18,2,2.02636498814593,-1.6869375347457,5.73966772638482
3,10,10,10,18,3,2.2342146149414,-1.23195968189439,5.70038911279247
3,10,10,10,18,4,1.33540678215496,-3.38606202646371,6.05687586458965
3,10,10,10,18,5,3.70055147034984,1.58930812723893,5.81179493589626
3,10,10,10,18,6,3.7113526910829,0.244472652639288,7.17823293058341
3,10,10,10,18,7,-0.386879092408025,-2.80830930084616,2.0345512564581
3,10,10,10,18,8,2.55668801090755,-1.16396094956171,6.27733718714995
3,10,10,10,18,9,0.467194821795036,-5.1712204189171,6.10561038949353
3,10,10,10,18,10,-2.78863677119143,-6.00000168056558,0.422728324420845
1,1,1,5,38,1,0.613860476870014,-1.39754589161162,2.62526824396389
1,1,1,5,38,2,-1.05441982186568,-3.3568941094818,1.24805606674946
1,1,1,5,38,3,-0.67686388640688,-1.90021719783751,0.546490275670623
1,1,1,5,38,4,1.23951435064176,-0.445920609496929,2.92495048145796
1,1,1,5,38,5,1.50971974150606,-1.19999797482898,4.21943934200682
1,1,1,5,38,6,-0.614445922645021,-2.32128749874281,1.09239684154642
1,1,1,5,38,7,0.680034505576678,-0.626805209591277,1.98687512849345
1,1,1,5,38,8,2.13871447842061,1.52820004850853,2.74922933284751
1,1,1,5,38,9,1.6852654273334,0.253369697166797,3.11716215325254
1,1,1,5,38,10,1.82325498112452,0.582720869348944,3.06378995550669
2,1,1,5,38,1,2.57493477068628,-0.0661933496164125,5.2160647274687
2,1,1,5,38,2,2.09259896685435,-0.67668468461388,4.86188454390811
2,1,1,5,38,3,1.74322136059093,0.0554814715724297,3.43096242315766
2,1,1,5,38,4,2.31250351540688,0.458496537198161,4.16651178278046
2,1,1,5,38,5,1.67335003471676,-0.159508404448542,3.50620974834041
2,1,1,5,38,6,2.34236713185028,1.09872847916469,3.5860066493
2,1,1,5,38,7,1.59107119631097,-0.254820684832128,3.43696436097103
2,1,1,5,38,8,1.29931030690578,0.204888689983437,2.39373268482332
2,1,1,5,38,9,-0.00329672013601407,-2.54132181405593,2.53473013856817
2,1,1,5,38,10,1.47160069267937,-0.150781497877774,3.09398401134789
3,1,1,5,38,1,3.19289787648022,1.66531521233016,4.72048160282025
